X,Y,ch
1,8,1
2,8,2
3,8,3
4,8,4
5,8,5
6,8,6
7,8,7
8,8,8
1,7,9
2,7,10
3,7,11
4,7,12
5,7,13
6,7,14
7,7,15
8,7,16
1,6,17
2,6,18
3,6,19
4,6,20
5,6,21
6,6,22
7,6,23
8,6,24
1,5,25
2,5,26
3,5,27
4,5,28
5,5,29
6,5,30
7,5,31
8,5,32
1,4,33
2,4,34
3,4,35
4,4,36
5,4,37
6,4,38
7,4,39
8,4,40
1,3,41
2,3,42
3,3,43
4,3,44
5,3,45
6,3,46
7,3,47
8,3,48
1,2,49
2,2,50
3,2,51
4,2,52
5,2,53
6,2,54
7,2,55
8,2,56
1,1,57
2,1,58
3,1,59
4,1,60
5,1,61
6,1,62
7,1,63
8,1,64
